ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source
amaimon,amaimon,amai1246,Amaimon,ali,Papunesia,-5.18742,145.368,Nuclear Trans New Guinea,Zgraggen1980NA
amele,amele,amel1241,Amele,aey,Papunesia,-5.29126,145.687,Nuclear Trans New Guinea,Zgraggen1980MA
anam,anam,anam1247,Anam,pda,Papunesia,-4.68869,145.051,Nuclear Trans New Guinea,Zgraggen1980SA
anamgura,anamgura,anam1248,Anamuxra,imi,Papunesia,-4.63762,144.991,Nuclear Trans New Guinea,Zgraggen1980SA
anjam,anjam,anja1238,Anjam,boj,Papunesia,-5.45899,145.717,Nuclear Trans New Guinea,Zgraggen1980RC
apali,apali,apal1256,Apali,ena,Papunesia,-5.1727,145.023,Nuclear Trans New Guinea,Zgraggen1980SA
arawum,arawum,araw1272,Arawum,awm,Papunesia,-5.52787,145.903,Nuclear Trans New Guinea,Zgraggen1980RC
asas,asas,asas1240,Asas,asd,Papunesia,-5.69345,145.549,Nuclear Trans New Guinea,Zgraggen1980RC
atemble,atemble,atem1241,Mand,ate,Papunesia,-5.08137,144.806,Nuclear Trans New Guinea,Zgraggen1980SA
bagupi,bagupi,bagu1252,Bagupi,bpi,Papunesia,-5.07778,145.632,Nuclear Trans New Guinea,Zgraggen1980MA
baimak,baimak,baim1245,Baimak,bmx,Papunesia,-5.18943,145.606,Nuclear Trans New Guinea,Zgraggen1980MA
bargam,bargam,barg1252,Bargam,mlp,Papunesia,-4.8723,145.756,Nuclear Trans New Guinea,Zgraggen1980MA
bau,bau,bauu1244,Bau,bbd,Papunesia,-5.26465,145.611,Nuclear Trans New Guinea,Zgraggen1980MA
bepour,bepour,bepo1240,Bepour,bie,Papunesia,-4.5985,145.442,Nuclear Trans New Guinea,Zgraggen1980NA
bilakura,bilakura,bila1257,Bilakura,bql,Papunesia,-4.93116,145.559,Nuclear Trans New Guinea,Zgraggen1980NA
biyom,biyom,biyo1244,Biyom,bpm,Papunesia,-5.79929,145.348,Nuclear Trans New Guinea,Zgraggen1980SA
bongu,bongu,bong1291,Bongu,bpu,Papunesia,-5.50519,145.806,Nuclear Trans New Guinea,Zgraggen1980RC
brem,brem,brem1238,Brem,buq,Papunesia,-4.67372,145.562,Nuclear Trans New Guinea,Zgraggen1980MA
danaru,danaru,dana1254,Danaru,dnr,Papunesia,-5.53634,145.457,Nuclear Trans New Guinea,Zgraggen1980RC
faita,faita,fait1240,Kulsab,faj,Papunesia,-5.59947,145.298,Nuclear Trans New Guinea,Zgraggen1980SA
gal,gal,gall1278,Gal,gap,Papunesia,-5.16351,145.623,Nuclear Trans New Guinea,Zgraggen1980MA
ganglau,ganglau,gang1270,Ganglau,ggl,Papunesia,-5.57945,146.1305,Nuclear Trans New Guinea,Zgraggen1980RC
garus,garus,garu1246,Garus,gyb,Papunesia,-4.9222,145.683,Nuclear Trans New Guinea,Zgraggen1980MA
gavak,gavak,dimi1244,Dimir,dmc,Papunesia,-4.8296,145.676,Nuclear Trans New Guinea,Zgraggen1980MA
girawa,girawa,gira1247,Girawa,bbr,Papunesia,-5.35342,145.423,Nuclear Trans New Guinea,Zgraggen1980MA
gumalu,gumalu,guma1255,Gumalu,gmu,Papunesia,-5.22189,145.618,Nuclear Trans New Guinea,Zgraggen1980MA
isabi,isabi,isab1240,Isabi,isa,Papunesia,-5.83809,145.462,Nuclear Trans New Guinea,Zgraggen1980SA
isebe,isebe,iseb1246,Isebe,igo,Papunesia,-5.20719,145.691,Nuclear Trans New Guinea,Zgraggen1980MA
jilim,jilim,jili1241,Jilim,jil,Papunesia,-5.56611,145.706,Nuclear Trans New Guinea,Zgraggen1980RC
kare,kare,kare1341,Kare (Papua New Guinea),kmf,Papunesia,-5.07674,145.499,Nuclear Trans New Guinea,Zgraggen1980MA
kein,kein,kein1239,Kein,bmh,Papunesia,-5.3373,145.483,Nuclear Trans New Guinea,Zgraggen1980MA
