ID	DOCULECT	CONCEPT	COUNTERPART
119561	bagupi	you-o2s	-s-
128221	bagupi	to-burn	ma(na)-
118870	bagupi	thunder	agʌr bɛ-
126130	bagupi	how-many	ari gotɛk
121073	bagupi	belly	ihuru- ɛm
128251	bagupi	to-fill	wete-
121105	bagupi	guts	si
127262	bagupi	to-fall	togɛ-
119590	bagupi	you	neg
123856	bagupi	moon	ažʌːr
119489	bagupi	my	-y
127887	bagupi	to-dig	bɛ-
121137	bagupi	breast	a:v
124014	bagupi	sand	ɛsɛl
119670	bagupi	him-her-it	-r-
123664	bagupi	ashes	olim
121166	bagupi	chest	gilipo-
125110	bagupi	bad	oːli
121196	bagupi	navel	ihuru-
127919	bagupi	to-split	ahili-
121227	bagupi	blood	ti
125387	bagupi	full	aupsɛ-
119716	bagupi	he-she	nug
127560	bagupi	to-see	itɛ-
121257	bagupi	vein	sili
127559	bagupi	to-see	itɛi-
118900	bagupi	man	denah
126669	bagupi	quickly	amʌr
121284	bagupi	liver	geme-
128551	bagupi	to-pull	oro-
119832	bagupi	us	-g-
125793	bagupi	straight	atebahe
121312	bagupi	lungs	uru-
123663	bagupi	ashes	gauh
118930	bagupi	woman	mimino
125634	bagupi	few	watɛ
121339	bagupi	heart	ti
123468	bagupi	bamboo	ar
121363	bagupi	bone	epe-
126159	bagupi	morning	aluʔ
119865	bagupi	we	i-g
124652	bagupi	bowstring	o:r
119789	bagupi	his	-0̸
126409	bagupi	tomorrow	ilu
121401	bagupi	skin	fe-
126983	bagupi	to-stand	atali-
121402	bagupi	skin	garʌ-
124432	bagupi	arrow	bon
118809	bagupi	their-dual	-tVii
124895	bagupi	pan	awɔr
119636	bagupi	your-sg	-un
125886	bagupi	dry	isihe-
121439	bagupi	to-sweat	mihur
123313	bagupi	trunk	mu
119925	bagupi	you-pl-o2p	-rVr-
126699	bagupi	slow	sɛhɛmɛr
121469	bagupi	sore-wound	tʌʰ
128784	bagupi	to-tie	tati
121470	bagupi	sore-wound	tʌŒ
125140	bagupi	dirty	dug
119954	bagupi	you-pl	e-g
127597	bagupi	to-hear	do
121504	bagupi	hair	uruk
122825	bagupi	sweet-potato	tonom
118961	bagupi	old	ʌ:gu
126438	bagupi	day-after-tomorrow	sumahi
121568	bagupi	urine	deip
122979	bagupi	yam	ʔo
121602	bagupi	penis	owa-
127077	bagupi	to-come	sɛ-
120017	bagupi	we-dual	i-y
128281	bagupi	to-eat	za-
120077	bagupi	us-two	-t-
127292	bagupi	to-fly	pivera-
121538	bagupi	faeces	si:
122575	bagupi	ground-possum	tusih
121633	bagupi	shadow	isiho-
126187	bagupi	daybreak	eᵬilum
118992	bagupi	child	napera
125416	bagupi	empty	agulu
120107	bagupi	you-dual	ɛ-y
126439	bagupi	day-after-tomorrow	zautʌn
121666	bagupi	name	binʌ
124243	bagupi	sun	u:s
119024	bagupi	boy	napɛra mɛː
124683	bagupi	comb	agarin
121697	bagupi	vulva	fu-
125667	bagupi	new	yara
120168	bagupi	you-pl-dual-o2p	-tVt-
126733	bagupi	yes	io
121727	bagupi	bird	ai
123158	bagupi	tree	im
121757	bagupi	wing	ʌ:lu
122729	bagupi	lime	suh
121787	bagupi	tail	solulug
124464	bagupi	arrow-pronged	ʌ:gur
121817	bagupi	tail	sol-ulug
127015	bagupi	cough	doro
120209	bagupi	head	mugupa-
125923	bagupi	work-n	pail mɛ-
121844	bagupi	egg	musʌ
123499	bagupi	bean	gupʌi
119056	bagupi	girl	mimino main
128313	bagupi	to-fight	maro-
121874	bagupi	cassowary	iwʌ:r
127948	bagupi	tears	kahili-
120242	bagupi	brains	yeluma
125171	bagupi	big	ɛmɛ
119241	bagupi	their	-gVri
127628	bagupi	to-bathe	di yau-
121905	bagupi	chicken-tame	mɛru
124925	bagupi	net-bag	yo
118633	bagupi	negation-marker	-a
123698	bagupi	smoke	ka
121944	bagupi	chicken-wild	morabi
128813	bagupi	to-call-out	urwɛ-
121945	bagupi	chicken-wild	mɛrɛsagur
128609	bagupi	to-put	mɛ-
120272	bagupi	face-forehead	ura-
123342	bagupi	root	silig
119094	bagupi	father	meme(ne)-
127326	bagupi	to-jump	oyɛwa-
121977	bagupi	dog	pʌi
122853	bagupi	sugar	banʌ
119093	bagupi	father	aita
126473	bagupi	afterwards	sumur
120301	bagupi	ear	dahu-
125702	bagupi	old	ɛyʌk
122006	bagupi	tail	usig
124500	bagupi	spear-n	fon
122035	bagupi	male	goh
126764	bagupi	no-not	pi
120330	bagupi	eye	amu-
124274	bagupi	village	foβ
122065	bagupi	female	enʌg
125701	bagupi	old	amahoro
122096	bagupi	fly-sp	pahura
127979	bagupi	to-cut	o-
119985	bagupi	your-pl	-gVri
125446	bagupi	hot	imʌg tɛk
120361	bagupi	mouth	asi-
126219	bagupi	afternoon	dohu fʌg
122130	bagupi	fish	silau
123010	bagupi	tobacco	kah
119141	bagupi	mother	ʌ:n
125951	bagupi	to-be-hungry	enu mau-
122162	bagupi	crayfish	zomʌr
128344	bagupi	to-kill	pe-
119142	bagupi	mother	ene-
127044	bagupi	to-die	mau-
120391	bagupi	nose	nomusa-
122451	bagupi	rat	pagɔi
122191	bagupi	louse	mi
124713	bagupi	skirt	gogur̃
122230	bagupi	mosquito	kapani
127662	bagupi	to-wash	di ya
120421	bagupi	tongue	nimʌru-
127355	bagupi	to-swell	iwirɛ-
122261	bagupi	pig	bo
123891	bagupi	mountain	bahɛ
118666	bagupi	possessive-marker	pi-
125202	bagupi	small	uhnʌg
122292	bagupi	meat	tihun
124081	bagupi	cloud	tok
120454	bagupi	saliva	imisol
124955	bagupi	loincloth	tiwur garɛn
122321	bagupi	fat	tirag
124082	bagupi	cloud	wau
119177	bagupi	them	-rVr-
123529	bagupi	vine	muli
122353	bagupi	crocodile	wagʌi
127729	bagupi	to-carry	oliawa-
120486	bagupi	tooth	au-
128008	bagupi	to-chop	ohili-
122385	bagupi	flying-fox	mele
128843	bagupi	to-cry	pa-
119788	bagupi	his	-Vg
126796	bagupi	always	hanhan
118696	bagupi	all	agen
122606	bagupi	butterfly	bobɔr
120517	bagupi	chin	aga-
127794	bagupi	to-blow	fu(mu)
122417	bagupi	frog	ɔgo
125300	bagupi	white	wʌlu
119491	bagupi	my	-0̸
123040	bagupi	sago	bo:p
120548	bagupi	neck	fa-
125239	bagupi	black	pamu
119208	bagupi	they	(egehun)
123435	bagupi	stick	banʌːr
119265	bagupi	sibling-same-sex-older	on-
125480	bagupi	cold	daruh
120578	bagupi	throat	ʌr pʌla
125733	bagupi	ripe	wʌlu
118723	bagupi	lightning	amen pipile-
127385	bagupi	to-vomit	pa-
119289	bagupi	sibling-same-sex-older	ou-
126253	bagupi	night	otu sem
120608	bagupi	nape	doa
128492	bagupi	to-hold	atu-
119290	bagupi	sibling-same-sex-older	abʌːni
125984	bagupi	this	ɛnɛ
120643	bagupi	back	ege-
126509	bagupi	here	ɛnɛ
129047	bagupi	afraid	wahitei
125538	bagupi	long	durug
129018	bagupi	dream	eβurau
128042	bagupi	fell-tree	o-
128989	bagupi	to-think	dahu mɛ-
124343	bagupi	water	di
129108	bagupi	arrow-barred	sigum
123376	bagupi	short-piece-wood	tutu
129076	bagupi	to-be-sick	welau mau
124743	bagupi	g-string	ba:m
129137	bagupi	arrow-hooked	bon mogʌrmɛrup
123731	bagupi	garden	pail
128959	bagupi	to-turn	ᵬayɛ-
123925	bagupi	path	i:hi
128072	bagupi	to-bury	foʔmɛ-
123561	bagupi	tanket	pahum
126543	bagupi	there	yɛti
124980	bagupi	basket	gʌ:m
122480	bagupi	snake	sur̃
128403	bagupi	to-shoot	parau-
127110	bagupi	go	ugu-
126828	bagupi	to-be	da-
128873	bagupi	to-laugh	imi-
126011	bagupi	that	ɛgun
124309	bagupi	forest	ʌtu
124310	bagupi	forest	uhʌːk
125509	bagupi	heavy	ubau
127762	bagupi	to-carry	kuki-
124533	bagupi	fish-spear	fon
124113	bagupi	fog	tok
127699	bagupi	to-bite	ɛm-
125762	bagupi	sharp	augu
123956	bagupi	sea	simah
127700	bagupi	to-bite	ɛmo-
123218	bagupi	sap	titi
122888	bagupi	taro	sabel
126286	bagupi	now	gɛ
122887	bagupi	taro	ma
127426	bagupi	to-give	mɛ-
124772	bagupi	drum	ou
128099	bagupi	plant	ehu
125269	bagupi	red	titɛk
128433	bagupi	to-do-make	ana-
122758	bagupi	kunai	paspin
127140	bagupi	to-go-up	tɛ-
128897	bagupi	to-dance	abi ila-
122637	bagupi	banana	mug
126863	bagupi	to-sleep	nog-
123406	bagupi	cane	iwʌ:r
125008	bagupi	one	nunuga
124145	bagupi	salt	u:
123763	bagupi	fence	ʌ:r
123069	bagupi	coconut-palm	isu
123129	bagupi	coconut	di
123189	bagupi	fruit	aug
123824	bagupi	house	žʌb
127460	bagupi	to-talk	ninʔa-
124564	bagupi	axe	ʔi tob
126574	bagupi	in	ib
125327	bagupi	green	waru
126039	bagupi	who	won
128128	bagupi	to-buy-sell-barter	tagɛn mɛ-
124402	bagupi	wind	oya
128667	bagupi	to-smell	uhuli-
128668	bagupi	to-smell	gori do-
128697	bagupi	to-swallow	dawagu-
128726	bagupi	to-take	au-
128637	bagupi	to-scratch	pagɛrɛ-
127824	bagupi	to-blow	fu(mu)
122792	bagupi	pandanus	moi
124802	bagupi	drum	gilʌm
122511	bagupi	wallaby	ur
123591	bagupi	fire	imup
127170	bagupi	to-go-down	ni-
125038	bagupi	two	barartek
123249	bagupi	stump	si:g
128927	bagupi	singsing	awi ᵬɛru-
122918	bagupi	singapore-taro	namɛla
126316	bagupi	yesterday	tu
126893	bagupi	to-sit	inanɛ-
122667	bagupi	betelnut	fa
126068	bagupi	what	ʌri
124372	bagupi	rain	wa
123794	bagupi	ground	eb
126605	bagupi	near	gugir
125824	bagupi	crooked	ɛpɛp tɛk
124593	bagupi	axe-iron	tob
123098	bagupi	coconut	mapʌ
124834	bagupi	knife	isina
123986	bagupi	shore	bɛsʌːg
127492	bagupi	to-talk	ra ʔa-
126348	bagupi	day-before-yesterday	zautʌn
128158	bagupi	to-roast	ɛwama-
125571	bagupi	short	tutu
127199	bagupi	to-run	lalɛᵬɛ-
124176	bagupi	stone	ʔi:
123619	bagupi	firelight	oraum
120681	baimak	buttocks	bioto
127828	baimak	to-blow	fuetu
119330	baimak	sibling-same-sex-younger	apai
126801	baimak	always	asas
119331	baimak	sibling-same-sex-younger	reipa- nak
126103	baimak	where	ate
120713	baimak	arm	rebu-
123439	baimak	stick	kobay
120745	baimak	elbow	a:muk
124149	baimak	salt	u:
118756	baimak	to-look	ara-
126643	baimak	far	utwaif
119363	baimak	sibling-opposite-sex-older	orapa-
128526	baimak	to-pour-out	ɛbisal-
120776	baimak	shoulder	kapata-
128195	baimak	to-boil	ye-
120777	baimak	shoulder	dota-
125084	baimak	good	ebor
120051	baimak	our-dual	-(i)ɛt
122798	baimak	pandanus	mɔ:i
120807	baimak	armpit	sioli-
128196	baimak	to-boil	ekie-
119247	baimak	their	-agat
123990	baimak	shore	vɛːrum
120836	baimak	left-arm	anenai
127526	baimak	to-watch	amukɛ-
119900	baimak	our	-(i)ɛk
126927	baimak	to-stand	aye-
119409	baimak	sibling-opposite-sex-younger	ɛpi- nʌːg
122797	baimak	pandanus	orsay
118784	baimak	they-dual	ʌtow
123288	baimak	tree-top	gok
120867	baimak	right-arm	nulipan
125082	baimak	good	nu
120895	baimak	thumb	mamak
122762	baimak	kunai	inam
119439	baimak	i	sak
123767	baimak	fence	ar
120924	baimak	fingernail	siri
126134	baimak	how-many	ga:ni
120954	baimak	leg	fa:-
123828	baimak	house	imʌt
120955	baimak	leg	katirʌ-
126382	baimak	before	ilei
119530	baimak	me	-r-
124627	baimak	bow	rein
120987	baimak	thigh	pia:ri-
125359	baimak	cooked	ɛma-
118844	baimak	them-dual	-vatu-
127860	baimak	to-break	bete-
121018	baimak	calf	use-
125609	baimak	many	kɛnɛːbi
121019	baimak	calf	madefu-
127232	baimak	to-walk	uku-
119565	baimak	you-o2s	-s-
122551	baimak	tree-possum	tamay
121049	baimak	knee	ʌ:muk
125857	baimak	wet	dɛu
121077	baimak	belly	o-
124406	baimak	wind	olo
118874	baimak	thunder	wɛli bɛ-
124867	baimak	plate	fa:s
121109	baimak	guts	o- wʌg
124656	baimak	bowstring	ol
119594	baimak	you	nak
126413	baimak	tomorrow	daːir
121141	baimak	breast	aumay
128583	baimak	to-push	sunetu-
118814	baimak	their-dual	-ar
127565	baimak	to-see	ara-
121170	baimak	chest	mugu-
126957	baimak	yellow	danou
121200	baimak	navel	iri-
123133	baimak	coconut	rɛu
119674	baimak	him-her-it	-d-
124215	baimak	star	fay
121231	baimak	blood	momoka-
125797	baimak	straight	korɔr
121261	baimak	vein	sirimuk
128759	baimak	to-fasten	pagu-
119720	baimak	he-she	nuk
122828	baimak	sweet-potato	wagigay
118904	baimak	man	sin
122701	baimak	betelpepper	our
121288	baimak	liver	ulu- a:uk
127564	baimak	to-see	ita-
119837	baimak	us	-k-
122953	baimak	yam	ɔ
121316	baimak	lungs	kam-
126673	baimak	quickly	gulan
119838	baimak	us	-0̸-
124018	baimak	sand	igis
118934	baimak	woman	ait
125115	baimak	bad	nub
121367	baimak	bone	epay-
125114	baimak	bad	nau
119869	baimak	we	ik
128555	baimak	to-pull	ɛrɛ-
119640	baimak	your-sg	-0̸
128225	baimak	to-burn	mayɛ-
121409	baimak	skin	gara-
127892	baimak	to-dig	ari-
121410	baimak	skin	feru
128255	baimak	to-fill	wete-
118965	baimak	old	mɛhur
125638	baimak	few	oiroil
119929	baimak	you-pl-o2p	-vatu-
126163	baimak	morning	piːr
121443	baimak	to-sweat	mul-
123472	baimak	bamboo	ɛf
121474	baimak	sore-wound	you-
127267	baimak	to-fall	bɛtɛ-
119958	baimak	you-pl	ak
125391	baimak	full	am bɛ-
121508	baimak	hair	pagif
127266	baimak	to-fall	ake-
121509	baimak	hair	gosi
125890	baimak	dry	maupm
121573	baimak	urine	sire
126703	baimak	slow	pivei
119800	baimak	his	-0̸
126987	baimak	to-stand	ayɛ-
120021	baimak	we-dual	iati
123670	baimak	ashes	ir
121606	baimak	penis	au-
125144	baimak	dirty	tutufu
121607	baimak	penis	pami-
127601	baimak	to-hear	do
118996	baimak	child	na
124899	baimak	pan	waʌl
121541	baimak	faeces	bi:
