ID	DOCULECT	CONCEPT	COUNTERPART
119971	amele	your-pl	-(V)ga
128800	amele	to-call-out	utɛʔɛ-
119227	amele	their	-(V)ga
128743	amele	to-fasten	kaki-
120033	amele	our-dual	-ilɛ
128830	amele	to-cry	qaye-
119462	amele	my	-i
128889	amele	to-dance	i:k mɛ-
118739	amele	to-look	mɛkɛ-
128771	amele	to-tie	tito
119309	amele	sibling-same-sex-younger	oti- naʔʌk
129005	amele	dream	bebele
120662	amele	buttocks	bibito-
129125	amele	arrow-hooked	mokilʔa
120663	amele	buttocks	piʔito
128742	amele	to-fasten	bagɛ-
120693	amele	arm	epe-
128945	amele	to-turn	falito-
119344	amele	sibling-opposite-sex-older	ɛpina- mʌtu
129063	amele	to-be-sick	hʌgbo-
120726	amele	elbow	suʔul
128860	amele	to-laugh	asʌlɛ-
120727	amele	elbow	suʔun
129034	amele	afraid	uʔuyɛ-
120758	amele	shoulder	qato-
128914	amele	singsing	tuwɛ sili-
120759	amele	shoulder	guqa-
128088	amele	to-plant	ʔehe-
118768	amele	they-dual	owa-lɛ
128976	amele	to-think	isto-
119372	amele	sibling-opposite-sex-older	ʔebina-
122936	amele	yam	malak
120790	amele	armpit	gia-
125905	amele	work-n	api o-
119392	amele	sibling-opposite-sex-younger	ɛpina- naʔak
128144	amele	to-roast	manɛ-
120819	amele	left-arm	anse
125839	amele	wet	waʔa
119422	amele	i	isa
125341	amele	cooked	izi-
120848	amele	right-arm	mɛula
124610	amele	bow	pali
120878	amele	thumb	mamɔk
124967	amele	basket	kalɛl
120907	amele	fingernail	hilo-
123115	amele	coconut	adʌk
119882	amele	our	-ikɛ
124388	amele	wind	papon
118827	amele	them-dual	-alɛ-
127841	amele	to-break	bahe-
119513	amele	me	-iti-
122683	amele	betelpepper	hul
120937	amele	leg	yai
127215	amele	to-walk	poɛ-
120968	amele	thigh	tuʔumi
125591	amele	many	mʌti
120969	amele	thigh	tuʔu-
126365	amele	before	vele
119544	amele	you-o2s	-ihi-
123811	amele	house	yo
121000	amele	calf	pik
124194	amele	star	boi
121032	amele	knee	ko:p
123810	amele	house	zo
118796	amele	their-dual	-alɛ
125024	amele	two	leis
118857	amele	thunder	pɛːli po-
124639	amele	bowstring	o:l
121059	amele	belly	wau-
123453	amele	bamboo	wadup
119577	amele	you	hina
126117	amele	how-many	kʌniʔ
121090	amele	guts	wawi- tuni
128209	amele	to-burn	manɛ-
121091	amele	guts	bi-anak
126939	amele	yellow	zaːnʔa
118887	amele	man	dana
123642	amele	ashes	omis
121122	amele	breast	suk
126655	amele	quickly	mahuʔ
119657	amele	him-her-it	-uti-
123452	amele	bamboo	aːgɛl
121152	amele	chest	mugu-
127541	amele	to-see	mɛʔ-
119611	amele	your-sg	-0̸
123451	amele	bamboo	ʔeed
119610	amele	your-sg	-(i)n
125097	amele	bad	meʔpɛʔ
118917	amele	woman	aide- (aid)
127579	amele	to-hear	dah
119695	amele	he-she	uʔpa
127245	amele	to-fall	pahɛ-
121183	amele	navel	sili-
124880	amele	pan	hal
119696	amele	he-she	ugba
125372	amele	full	ampɛʔ
121213	amele	blood	kola-
125373	amele	full	alibɛ-
119697	amele	he-she	uqa
126396	amele	tomorrow	uʔpʌta
119819	amele	us	-ig-i-
125871	amele	dry	sahawe-
121244	amele	vein	hilima-
125621	amele	few	leis
121272	amele	liver	gema-
127873	amele	to-dig	holo-
118948	amele	old	toye
123300	amele	trunk	um
119852	amele	we	e-ke
124419	amele	arrow	suan
121299	amele	lungs	malasu
126969	amele	to-stand	aye-
121327	amele	heart	uli-
125870	amele	dry	ʌmiye̞
121350	amele	bone	teful
126686	amele	slow	ɛhɛna
119912	amele	you-pl-o2p	-ade-
126970	amele	to-stand	ase-
121384	amele	skin	kanaʔ-
123236	amele	stump	kuk
121385	amele	skin	tewen
127580	amele	to-hear	tahu
118979	amele	child	mɛl
123841	amele	moon	zakel
119941	amele	you-pl	a-ke
128567	amele	to-push	sundo-
121426	amele	to-sweat	musul
125127	amele	dirty	kɛkɛhin
121456	amele	sore-wound	iso-
127581	amele	to-hear	tahm-
120004	amele	we-dual	ɛ-rɛ
127905	amele	to-split	batamɛ-
121489	amele	hair	kosiʔ
122563	amele	ground-possum	kanim
121490	amele	hair	pagiʔ
124030	amele	sky	saw
121554	amele	urine	yahoʔ
124229	amele	sun	ʔam
121555	amele	urine	zahɔʔ
126175	amele	daybreak	oyakɛ
119011	amele	boy	mɛl ɔs
122966	amele	yam	ʔo
120064	amele	us-two	-ili-
127280	amele	to-fly	fulule
121587	amele	penis	bam-
124228	amele	sun	am
121588	amele	penis	ka-
122716	amele	lime	waya
121620	amele	shadow	hahu-
128267	amele	to-eat	ye-
121526	amele	faeces	buye-
125402	amele	empty	danʌʔ
120094	amele	you-dual	a-lɛ
126426	amele	day-after-tomorrow	ɛlɛtɛ
121652	amele	name	iza-
124669	amele	comb	sagaʔ
119749	amele	his	-ak
123145	amele	tree	nʌ
119750	amele	his	-(i)g
124670	amele	comb	tup
118619	amele	negation-marker	-na
125649	amele	new	haun
120155	amele	you-pl-dual-o2p	-alɛ-
123685	amele	smoke	asuʔ
121684	amele	vulva	mina-
125156	amele	big	pe:n
121713	amele	bird	maːn
124912	amele	net-bag	yol
121743	amele	wing	hozon
123329	amele	root	bebek
120188	amele	head	ilo-
122906	amele	singapore-taro	paʔala
121773	amele	tail	pitohuʔ
124484	amele	spear-n	qali
121804	amele	tail	bi-
128238	amele	to-fill	wete
121805	amele	tail	biti-
124730	amele	g-string	bam
119077	amele	father	mei
124259	amele	village	zopon
120229	amele	brains	ilohu-
128595	amele	to-put	me-
121830	amele	egg	na:k
124449	amele	arrow-pronged	kamat
121861	amele	cassowary	esil
126719	amele	yes	ɛsɛː
119078	amele	father	meme-
126718	amele	yes	a
121892	amele	chicken-tame	malaː
125906	amele	work-n	ɛhɛ-
120258	amele	face-forehead	ola-
127935	amele	tears	balatɛ-
121928	amele	chicken-wild	paʔiyo
125157	amele	big	ben
121929	amele	chicken-wild	nʌ
123487	amele	bean	maʔin
118652	amele	possessive-marker	pɛ-
127001	amele	cough	ʔotolɛ-
120288	amele	ear	dahi-
127614	amele	to-bathe	wa yo-
121964	amele	dog	pa
128298	amele	to-fight	ʔade-
121993	amele	tail	hohu-
125432	amele	hot	tainʔ
120317	amele	eye	ame-
125187	amele	small	nʌːk
122022	amele	male	manahal
127645	amele	to-wash	yo
122052	amele	female	ʌnʌk
124483	amele	spear-n	qel
119123	amele	mother	ani-
127311	amele	to-jump	pusale
119124	amele	mother	au
122438	amele	rat	koʔi
120346	amele	mouth	o-
127031	amele	to-die	ʌlmɛ-
122081	amele	fly-sp	pahol
122592	amele	butterfly	babalit
119125	amele	mother	anag
122840	amele	sugar	hʌ
122115	amele	fish	dɔ:l
122997	amele	tobacco	ya?as
120376	amele	nose	mete-
126751	amele	no-not	pe
122149	amele	crayfish	uːl
123875	amele	mountain	ʔalu
122178	amele	louse	mi
126206	amele	afternoon	wɛsu
120124	amele	your-pl-dual	-ai
124061	amele	cloud	sa:w
118683	amele	all	ʔunug
126457	amele	afterwards	ɛsi hipna
119164	amele	them	-ade-
125685	amele	old	hila
120408	amele	tongue	pelia-
127995	amele	to-chop	ago-
122209	amele	mosquito	is
125939	amele	to-be-hungry	wen-
122248	amele	pig	ho
124485	amele	spear-n	sawʌi
120440	amele	saliva	zahala
127965	amele	to-cut	akɔ-
122278	amele	meat	ufun
126490	amele	here	ɛnɛ
122279	amele	meat	uhun
128331	amele	to-kill	po-
122309	amele	fat	lalu
124699	amele	skirt	saːk
119193	amele	they	owa-ke
127342	amele	to-swell	ibe-
120471	amele	tooth	mai-
123515	amele	vine	halu
120472	amele	tooth	ai-
124941	amele	loincloth	lotoʔ
122337	amele	crocodile	waga
123176	amele	fruit	aig
122371	amele	flying-fox	mele
125969	amele	this	ihɛn
120503	amele	chin	sibe-
126237	amele	night	vitiʔ
122401	amele	frog	ɔ:k
126782	amele	always	kaitkait
118710	amele	lightning	fele-
126491	amele	here	ihɛn
119255	amele	sibling-same-sex-older	wali-
127716	amele	to-carry	ese
119256	amele	sibling-same-sex-older	oti- mʌtu
128362	amele	to-throw	hele-
120534	amele	neck	pe-
123715	amele	garden	api
120535	amele	neck	be-
127061	amele	to-come	ho-
120564	amele	throat	totol
126238	amele	night	tu
120593	amele	nape	tu-
125464	amele	cold	asoi-
120628	amele	back	gogodo-
122745	amele	kunai	inɛm
123027	amele	sago	ʔamaʔ
125720	amele	ripe	pi:ᵬ
125465	amele	cold	tuwan
123361	amele	short-piece-wood	fan
125224	amele	black	as
127372	amele	to-vomit	foye-
125223	amele	black	utuw
124100	amele	fog	hut
122467	amele	snake	man sononeʔ
126146	amele	morning	ʔpasil
128175	amele	to-boil	ili-
128027	amele	fell-tree	oto-
124293	amele	forest	oluʔ
124292	amele	forest	pagiᵬ
128390	amele	to-shoot	kusi-
123544	amele	tanket	ʔaʔisol
126814	amele	to-be	pili-
125749	amele	sharp	aig ʔa
123912	amele	path	žiʔ
124519	amele	fish-spear	sawʌl
123205	amele	sap	giliʔ
124518	amele	fish-spear	ɔaul
122870	amele	taro	ma
127095	amele	go	nuw-
127746	amele	to-carry	kah-
126272	amele	now	pila
123393	amele	cane	na
125999	amele	that	ohuɛn
125496	amele	heavy	ulume:n
126525	amele	there	ɛhuɛn
128059	amele	to-bury	hɛlisi-
124759	amele	drum	ʔasu
126526	amele	there	naha
125256	amele	red	kolʔa
127404	amele	to-give	ute-
122498	amele	wallaby	so
122497	amele	wallaby	utuma
122623	amele	banana	mu:on
124994	amele	one	osol
127681	amele	to-bite	b-
122624	amele	banana	mun
127156	amele	to-go-down	ne-
123750	amele	fence	ke:l
124549	amele	axe	mana
127127	amele	to-go-up	tope-
126026	amele	who	in
126849	amele	to-sleep	usni-
126848	amele	to-sleep	ni
124130	amele	salt	si
123056	amele	coconut-palm	ahul
128116	amele	to-buy-sell-barter	fayɛ-
128419	amele	to-do-make	otɛ-
126303	amele	yesterday	ʔum
126561	amele	in	hʌmol
127447	amele	to-talk	yɛ mat-
123578	amele	fire	za
125525	amele	long	ɛlaʔ
128450	amele	to-sharpen	mete-
124001	amele	sand	esiʔ
124329	amele	water	wa
125780	amele	straight	tutuʔ
124995	amele	one	leis
125286	amele	white	sɛnɛnɛ
123943	amele	sea	maʔas
128654	amele	to-smell	ʔahug me-
124788	amele	drum	gilem
128479	amele	to-hold	hɛwɛ-
128684	amele	to-swallow	pɛluto-
128625	amele	to-scratch	siʔi-
128508	amele	to-pour-out	paseʔto-
128538	amele	to-pull	tito-
126625	amele	far	onoʔa
126055	amele	what	ɛʔɛta
122654	amele	betelnut	ʔeb
127508	amele	to-watch	mɛʔi-
126591	amele	near	ɛmɛnuk
123780	amele	ground	maha
126334	amele	day-before-yesterday	ɛlɛn
124819	amele	knife	sigin
126590	amele	near	ono ʌbɛ
124580	amele	axe-iron	sapol
123085	amele	coconut	mɛk
123422	amele	stick	si
124161	amele	stone	men
123972	amele	shore	lana
124818	amele	knife	basin
126879	amele	to-sit	pili-
122775	amele	pandanus	foi
124359	amele	rain	wʌ
125317	amele	green	ɛtɛhmahanatɛ
125810	amele	crooked	okoke
128713	amele	to-take	o(i)-
125557	amele	short	kohiʔ
124162	amele	stone	meen
123607	amele	firelight	kowo
127479	amele	to-talk	ma-
124820	amele	knife	sinike
126335	amele	day-before-yesterday	um vɛlɛ
127810	amele	to-blow	fuldo-
125056	amele	good	me
127186	amele	to-run	gugul-
126909	amele	to-stand	tawe-
123268	amele	tree-top	igoʔ
127780	amele	to-blow	fuldo-
126085	amele	where	ai
123267	amele	tree-top	goʔin
126086	amele	where	ana
122529	amele	tree-possum	dama
120677	bagupi	buttocks	solu-
124210	bagupi	star	birum
119325	bagupi	sibling-same-sex-younger	omo-
128521	bagupi	to-pour-out	fura-
119326	bagupi	sibling-same-sex-younger	amani-
128375	bagupi	to-throw	taro-
120709	bagupi	arm	eβe-
126099	bagupi	where	ʌre
118752	bagupi	to-look	masi-
126923	bagupi	to-stand	oreda-
120741	bagupi	elbow	usʌ- amug
127522	bagupi	to-watch	ohogu-
119358	bagupi	sibling-opposite-sex-older	sotu-
125077	bagupi	good	waru
120772	bagupi	shoulder	guga-
125076	bagupi	good	ilu
120138	bagupi	your-pl-dual	-tVli
128189	bagupi	to-boil	bomo-
119895	bagupi	our	-(g)iag
126639	bagupi	far	waurʌːg
120803	bagupi	armpit	siali-
125355	bagupi	cooked	ʔo-
120832	bagupi	left-arm	naneh
127855	bagupi	to-break	pahule-
120862	bagupi	right-arm	mɛtul
124623	bagupi	bow	žʌt
118780	bagupi	they-dual	ɛ-y
122949	bagupi	yam	sabɛl
120891	bagupi	thumb	mɛhɛ
125605	bagupi	many	agɛn
120920	bagupi	fingernail	bili
128463	bagupi	to-sharpen	sɛlu-
119435	bagupi	i	sɛg
126953	bagupi	yellow	ɛsɛnʌg
120950	bagupi	leg	fa-
123284	bagupi	tree-top	go:g
120046	bagupi	our-dual	-iat
125853	bagupi	wet	fauro-
119526	bagupi	me	-l-
126378	bagupi	before	amʌh
120983	bagupi	thigh	igou-
127228	bagupi	to-walk	ugu-
118840	bagupi	them-dual	-tVt-
122544	bagupi	tree-possum	damʌ
121014	bagupi	calf	isumagi
124863	bagupi	plate	taᵬil
119490	bagupi	my	-n
122697	bagupi	betelpepper	our
121045	bagupi	knee	dowa- amug
128755	bagupi	to-fasten	pag-
