NUMBER,ID,ENGLISH,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,Zgraggen-1980-380-375,afraid,3033,SCARED
2,Zgraggen-1980-380-270,afternoon,1807,AFTERNOON
3,Zgraggen-1980-380-280,afterwards,2093,AFTERWARDS
4,Zgraggen-1980-380-4,all,98,ALL
5,Zgraggen-1980-380-293,always,1676,ALWAYS
6,Zgraggen-1980-380-55,arm,1673,ARM
7,Zgraggen-1980-380-59,armpit,1886,ARMPIT
8,Zgraggen-1980-380-196a,arrow,977,ARROW
9,Zgraggen-1980-380-196b,arrow-barred,,
10,Zgraggen-1980-380-196c,arrow-hooked,,
11,Zgraggen-1980-380-196d,arrow-pronged,,
12,Zgraggen-1980-380-164,ashes,646,ASH
13,Zgraggen-1980-380-198a,axe,,
14,Zgraggen-1980-380-198b,axe-iron,677,AXE
15,Zgraggen-1980-380-53,back,1291,BACK
16,Zgraggen-1980-380-221,bad,1292,BAD
17,Zgraggen-1980-380-158,bamboo,1927,BAMBOO
18,Zgraggen-1980-380-127,banana,868,BANANA
19,Zgraggen-1980-380-214,basket,1539,BASKET
20,Zgraggen-1980-380-159,bean,832,BEAN
21,Zgraggen-1980-380-277,before,1882,BEFORE
22,Zgraggen-1980-380-72,belly,1251,BELLY
23,Zgraggen-1980-380-128,betelnut,217,BETELNUT
24,Zgraggen-1980-380-129,betelpepper,177,BETEL PEPPER VINE
25,Zgraggen-1980-380-224,big,1202,BIG
26,Zgraggen-1980-380-96,bird,937,BIRD
27,Zgraggen-1980-380-226,black,163,BLACK
28,Zgraggen-1980-380-78,blood,946,BLOOD
29,Zgraggen-1980-380-84,bone,1394,BONE
30,Zgraggen-1980-380-199,bow,994,BOW
31,Zgraggen-1980-380-200,bowstring,2119,BOW STRING
32,Zgraggen-1980-380-9,boy,1366,BOY
33,Zgraggen-1980-380-35,brains,1583,BRAIN
34,Zgraggen-1980-380-74,breast,1402,BREAST
35,Zgraggen-1980-380-126,butterfly,1791,BUTTERFLY
36,Zgraggen-1980-380-54,buttocks,834,BUTTOCKS
37,Zgraggen-1980-380-70,calf,498,CALF OF LEG
38,Zgraggen-1980-380-156,cane,,
39,Zgraggen-1980-380-101,cassowary,466,CASSOWARY
40,Zgraggen-1980-380-75,chest,1592,CHEST
41,Zgraggen-1980-380-102,chicken-tame,1318,CHICKEN
42,Zgraggen-1980-380-103,chicken-wild,,
43,Zgraggen-1980-380-6,child,2099,CHILD
44,Zgraggen-1980-380-47,chin,1510,CHIN
45,Zgraggen-1980-380-181,cloud,1489,CLOUD
46,Zgraggen-1980-380-390,coconut,970,COCONUT
47,Zgraggen-1980-380-141,coconut-palm,147,COCONUT TREE
48,Zgraggen-1980-380-237,cold,1287,COLD
49,Zgraggen-1980-380-203,comb,1475,COMB
50,Zgraggen-1980-380-232,cooked,269,COOKED
51,Zgraggen-1980-380-301,cough,879,COUGH
52,Zgraggen-1980-380-111,crayfish,467,CRAYFISH
53,Zgraggen-1980-380-118,crocodile,1857,CROCODILE
54,Zgraggen-1980-380-251,crooked,297,CROOKED
55,Zgraggen-1980-380-279,day-after-tomorrow,1179,DAY AFTER TOMORROW
56,Zgraggen-1980-380-276,day-before-yesterday,1180,DAY BEFORE YESTERDAY
57,Zgraggen-1980-380-268b,daybreak,729,DAWN
58,Zgraggen-1980-380-222,dirty,1230,DIRTY
59,Zgraggen-1980-380-104,dog,2009,DOG
60,Zgraggen-1980-380-374,dream,2374,DREAM
61,Zgraggen-1980-380-207,drum,908,DRUM
62,Zgraggen-1980-380-253,dry,1398,DRY
63,Zgraggen-1980-380-38,ear,1247,EAR
64,Zgraggen-1980-380-100,egg,744,EGG
65,Zgraggen-1980-380-57,elbow,981,ELBOW
66,Zgraggen-1980-380-235,empty,1624,EMPTY
67,Zgraggen-1980-380-39,eye,1248,EYE
68,Zgraggen-1980-380-414,face,1560,FACE
69,Zgraggen-1980-380-37,face-forehead,123,FOREHEAD
70,Zgraggen-1980-380-89,faeces,675,FAECES (EXCREMENT)
71,Zgraggen-1980-380-288,far,1406,FAR
72,Zgraggen-1980-380-117,fat,323,FAT (ORGANIC SUBSTANCE)
73,Zgraggen-1980-380-11,father,1217,FATHER
74,Zgraggen-1980-380-340,fell-tree,463,FELL (A TREE)
75,Zgraggen-1980-380-108,female,1551,FEMALE
76,Zgraggen-1980-380-167,fence,1690,FENCE
77,Zgraggen-1980-380-243,few,1242,FEW
78,Zgraggen-1980-380-66,fingernail,1258,FINGERNAIL
79,Zgraggen-1980-380-162,fire,221,FIRE
80,Zgraggen-1980-380-163,firelight,630,LIGHT (RADIATION)
81,Zgraggen-1980-380-110,fish,227,FISH
82,Zgraggen-1980-380-197b,fish-spear,841,FISHING SPEAR
83,Zgraggen-1980-380-109,fly-sp,1504,FLY (INSECT)
84,Zgraggen-1980-380-119,flying-fox,235,FLYING FOX
85,Zgraggen-1980-380-182,fog,249,FOG
86,Zgraggen-1980-380-189,forest,420,FOREST
87,Zgraggen-1980-380-120,frog,503,FROG
88,Zgraggen-1980-380-148,fruit,1507,FRUIT
89,Zgraggen-1980-380-234,full,1429,FULL
90,Zgraggen-1980-380-205,g-string,468,G-STRING
91,Zgraggen-1980-380-166,garden,586,GARDEN
92,Zgraggen-1980-380-10,girl,1646,GIRL
93,Zgraggen-1980-380-304,go,695,GO
