ID,Name,Glottocode,Glottolog_Name,Source
0,amaimon,amai1246,Amaimon,Zgraggen1980NA
1,amele,amel1241,Amele,Zgraggen1980MA
2,anam,anam1247,Anam,Zgraggen1980SA
3,anamgura,anam1248,Anamuxra,Zgraggen1980SA
4,anjam,anja1238,Anjam,Zgraggen1980RC
5,apali,apal1256,Apali,Zgraggen1980SA
6,arawum,araw1272,Arawum,Zgraggen1980RC
7,asas,asas1240,Asas,Zgraggen1980RC
8,atemble,atem1241,Mand,Zgraggen1980SA
9,bagupi,bagu1252,Bagupi,Zgraggen1980MA
10,baimak,baim1245,Baimak,Zgraggen1980MA
11,bargam,barg1252,Bargam,Zgraggen1980MA
12,bau,bauu1244,Bau,Zgraggen1980MA
13,bepour,bepo1240,Bepour,Zgraggen1980NA
14,bilakura,bila1257,Bilakura,Zgraggen1980NA
15,biyom,biyo1244,Biyom,Zgraggen1980SA
16,bongu,bong1291,Bongu,Zgraggen1980RC
17,brem,brem1238,Brem,Zgraggen1980MA
18,danaru,dana1254,Danaru,Zgraggen1980RC
19,faita,fait1240,Kulsab,Zgraggen1980SA
20,gal,gall1278,Gal,Zgraggen1980MA
21,ganglau,gang1270,Ganglau,Zgraggen1980RC
22,garus,garu1246,Garus,Zgraggen1980MA
23,gavak,dimi1244,Dimir,Zgraggen1980MA
24,girawa,gira1247,Girawa,Zgraggen1980MA
25,gumalu,guma1255,Gumalu,Zgraggen1980MA
26,isabi,isab1240,Isabi,Zgraggen1980SA
27,isebe,iseb1246,Isebe,Zgraggen1980MA
28,jilim,jili1241,Jilim,Zgraggen1980RC
29,kare,kare1341,Kare (Papua New Guinea),Zgraggen1980MA
30,kein,kein1239,Kein,Zgraggen1980MA
31,kesawai,kesa1244,Kesawai,Zgraggen1980RC
32,kobol,kobo1248,Kobol,Zgraggen1980MA
33,korak,kora1296,Korak,Zgraggen1980NA
34,kowaki,kowa1245,Kowaki,Zgraggen1980NA
35,lemio,lemi1243,Lemio,Zgraggen1980RC
36,maia-pila,pila1246,Pila,Zgraggen1980NA
37,maia-saki,sali1249,Saki,Zgraggen1980NA
38,mala,mala1494,Mala (Papua New Guinea),Zgraggen1980MA
39,malas,mala1495,Malas,Zgraggen1980NA
40,male,male1291,Male (Papua New Guinea),Zgraggen1980RC
41,matepi,mate1260,Matepi,Zgraggen1980MA
42,mauwake,mauw1238,Mauwake,Zgraggen1980MA
43,mawak,mawa1266,Mawak,Zgraggen1980NA
44,mawan,mawa1267,Mawan,Zgraggen1980MA
45,miani,mian1254,Miani,Zgraggen1980NA
46,migum,kolo1267,Kolom,Zgraggen1980RC
47,moere,moer1240,Moere,Zgraggen1980NA
48,moresada,more1258,Moresada,Zgraggen1980SA
49,mosimo,mosi1248,Mosimo,Zgraggen1980MA
50,mum,mumm1238,Mum,Zgraggen1980SA
51,munit,muni1257,Munit,Zgraggen1980MA
52,murupi,muru1273,Murupi,Zgraggen1980MA
53,musak,musa1266,Aisi,Zgraggen1980SA
54,musar,musa1265,Musar,Zgraggen1980NA
55,nake,nake1240,Nake,Zgraggen1980MA
56,nend,nend1239,Nend,Zgraggen1980SA
57,nobonob,nobo1238,Nobonob,Zgraggen1980MA
58,ogea,ogea1238,Ogea,Zgraggen1980RC
59,pal,pall1244,Pal,Zgraggen1980MA
60,pamosu,pamo1253,Pamosu,Zgraggen1980RC
61,panim,pani1258,Panim,Zgraggen1980MA
62,parawen,para1207,Parawen,Zgraggen1980NA
63,paynamar,payn1244,Manat,Zgraggen1980SA
64,pulabu,pula1267,Pulabu,Zgraggen1980RC
65,rapting,rapt1240,Rapting,Zgraggen1980MA
66,rempi,remp1241,Rempi,Zgraggen1980MA
67,rerau,rera1240,Rerau,Zgraggen1980RC
68,saep,saep1240,Saep,Zgraggen1980RC
69,sam,samm1244,Sam,Zgraggen1980RC
70,samosa,samo1306,Samosa,Zgraggen1980MA
71,saruga,saru1243,Saruga,Zgraggen1980MA
72,sausi,saus1246,Sausi,Zgraggen1980RC
73,sihan,siha1245,Sihan,Zgraggen1980MA
74,sileibi,sile1255,Sileibi,Zgraggen1980SA
75,silopi,silo1240,Silopi,Zgraggen1980MA
76,sinsauru,sins1241,Sinsauru,Zgraggen1980RC
77,siroi,siro1249,Siroi,Zgraggen1980RC
78,sop,sopp1247,Sop,Zgraggen1980RC
79,sumau,suma1270,Sumau,Zgraggen1980RC
80,tauya,tauy1241,Tauya,Zgraggen1980SA
81,ukuriguma,ukur1240,Ukuriguma,Zgraggen1980NA
82,urigina,urig1240,Urigina,Zgraggen1980RC
83,usan,usan1239,Usan,Zgraggen1980MA
84,utarmbung,utar1238,Utarmbung,Zgraggen1980SA
85,utu,utuu1240,Utu,Zgraggen1980MA
86,uya,uyaa1238,Uya,Zgraggen1980RC
87,uyajitaya,dudu1240,Duduela,Zgraggen1980RC
88,wadaginam,wada1263,Wadaginam,Zgraggen1980SA
89,wagi,wagi1249,Wagi (Papua New Guinea),Zgraggen1980MA
90,wamas,wama1247,Wamas,Zgraggen1980MA
91,wanambre,wana1269,Wanambre,Zgraggen1980NA
92,waskia,wask1241,Waskia,Zgraggen1980NA
93,watiwa,dump1243,Dumpu,Zgraggen1980RC
94,waube,kwat1244,Kwato,Zgraggen1980RC
95,yaben,yabe1255,Yaben,Zgraggen1980NA
96,yabong,yabo1240,Yabong,Zgraggen1980RC
97,yangulam,yang1298,Yangulam,Zgraggen1980RC
98,yarawata,yara1250,Yarawata,Zgraggen1980NA
99,yoidik,yoid1240,Yoidik,Zgraggen1980MA
