LEXEME,REPLACEMENT,COMMENT
ehibor < *ebihor < *emkihor,ehibor,lang: bepour concept: [armpit]
hus + 'give',hus,lang: bargam concept: [to-wash]
pilang + 'give',pilang,lang: maia-pila concept: [to-talk]
saki + 'give',saki,lang: maia-saki concept: [to-saki]
eta + 'give',era,lang: ukuriguma concept: [to-wash]
uᵬ- + 'give',uᵬ-,lang: usan concept: [to-wash]
kasuwa + 'give',kasuwa,lang: biyom concept: [to-talk]
kum + 'make',kum,lang: gavak concept: [to-bury]
-0̸,,
-0̸-,,
ya?as,yaʔas,fix glottal stop
