Grapheme	IPA
^	NULL
$	NULL
a	a
i	i
u	u
-	+
-$	NULL
^-	NULL
_-$	NULL
^_	NULL
+-	+
^+	NULL
-0̸_	+
+$	NULL
--$	NULL
-+	+
^-+	NULL
^--	NULL
_-	+
^--_	NULL
_$	NULL
-_2052	NULL
-_$	NULL
-_	+
m	m
n	n
o	o
r	r
k	k
g	g
e	e
t	t
s	s
b	b
ɛ	ɛ
ʌ	ʌ
l	l
p	p
w	w
ŋ	ŋ
d	d
_	+
y	j
h	h
ʔ	ʔ
f	f
r̃	r̃
ɨ	ɨ
v	v
z	z
ʉ	ʉ
ʌː	ʌː
ɔ	ɔ
ə	ə
a:	aː
j	j
kw	kʷ
ñ	ɲ
ʌ:	ʌː
i:	iː
iː	iː
ᵬ	ᵬ/v
ɣ	ɣ
β	β
u:	uː
V	V/ə
tʰ	tʰ
0̸	NULL
aː	aː
e:	eː
gw	gʷ
ᵱ	ᵱ/f
ɛː	ɛː
oː	oː
uː	uː
o:	oː
ø	ø
ž	ž/ʒ
ɸ	ɸ
ɪ	ɪ
pʰ	pʰ
æ	æ
G	G/g
ns	n s
ǰ	ǰ/dʒ
eː	eː
ɲ	ɲ
kʰ	kʰ
c	c/ts
ã	ã
mw	mʷ
ɔː	ɔː
ts	ts
ks	k s
rw	r w
ʂ	ʂ
ɔ:	ɔː
ps	p s
+	NULL
q	q
ms	m s
rs	r s
bᵘ	bʷ
ũ	ũ
kʷ	kʷ
uu	uː
0	NULL
ls	l s
ʔw	ʔʷ
ɛ:	ɛː
ŋw	ŋʷ
mm	mː
lw	lʷ
ƀ	ƀ/v
nh	nʰ
aa	aː
ii	iː
sⁱ	s ⁱ/i
nn	nː
th	tʰ
gʷ	gʷ
rᵘ	rʷ
'	ʔ
bᵃ	b ᵃ/a
rᵊ	r ᵊ/ə
oo	oː
gⁱ	g ⁱ/i
æː	æː	+02d0
ʒ	ʒ
bw	bʷ
Œ	ɶ
'g	ˀg
D	D/d
bs	b s
?	?/ʔ
dᵊ	d ᵊ/ə
rʰ	rʰ
gᵊ	g ᵊ/ə
sᵊ	s ᵊ/ə
sw	s w
æ:	æː
mᵊ	m ᵊ/ə
ř	ř/r
rh	rʰ
kᵊ	k ᵊ/ə
pw	pʷ
j̊	j̊
gs	g s
A	A/a
ä	ä
__	+
P	P/p
sᵘ	sʷ
õ	õ
rⁱ	r ⁱ/i
ee	eː
´	´/ʔ
bⁱ	b ⁱ/i
fs	f s
tᵊ	t ᵊ/ə
ʌʰ	ʌ ʰ/h
r̃w	r̃ʷ
wᵘ	w ᵘ/u
bᵉ	bᵉ/b
ë	ë
mᵃ	m ᵃ/a
mh	mʰ
pⁱ	p ⁱ/i
ᵶ	ᵶ/z
lː	lː
zᵉ	z ᵉ/e
ı	ɪ
<	NULL
*	NULL
nʑ	n ʑ
dᵉ	d ᵉ/e
pᵊ	p ᵊ/e
βs	β s
ɣw	ɣʷ
ʤ	dʒ
hw	hʷ
uʷ	u w
zᵊ	z ᵊ/ə
mᵉ	m ᵉ/ə
ŋŋ	ŋː
B	B/b
tw	tʷ
ɣᵊ	ɣ ᵊ/ə
ʊ	ʊ
ə:	əː
mᵘ	m ᵘ/u
əː	əː
ᵽ	ᵽ/f
dw	dʷ
dᵊw	d ᵊ/ə w
j̄	j̄/j
oʷ	o ʷ/w
ŋs	ŋ s
kᵘ	k ᵘ/u
aʰ	a ʰ/h
